iso_code,continent,Country_Region,Lat,Long_,last_updated_date,Confirmed,new_cases,Deaths,new_deaths,new_tests,Tests,positive_rate,tests_per_case,total_vaccinations,people_vaccinated,people_fully_vaccinated,population,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty
RWA,Africa,Rwanda,-1.9403,29.8739,2021-09-17,94893,415,1199,6,14495,2644414,0.035,28.5,2882134,1827371,1054763,13276517,20.3,2.974,1.642,1854.211,56
KNA,North America,Saint Kitts and Nevis,17.357822,-62.782998,2021-09-17,1589,0,9,0,257,35529,0.109,9.2,46884,24968,21916,53546,,,,24654.385,
LCA,North America,Saint Lucia,13.9094,-60.9789,2021-09-17,10344,127,148,9,,,,,71517,42594,28923,184401,34.9,9.721,6.405,12951.839,
VCT,North America,Saint Vincent and the Grenadines,12.9843,-61.2872,2021-09-17,2613,0,13,0,,,,,32126,19512,12644,111269,31.8,7.724,4.832,10727.146,
SMR,Europe,San Marino,43.9424,12.4578,2021-09-17,5412,4,90,0,,,,,46917,24329,24329,34010,,,,56861.47,
STP,Africa,Sao Tome and Principe,0.18636,6.613081,2021-09-17,3025,41,43,1,,,,,57154,45088,12066,223364,18.7,2.886,2.162,3052.714,32.3
SAU,Asia,Saudi Arabia,23.885942,45.079162,2021-09-17,546411,75,8651,6,49548,28248324,0.001,1027.9,40573432,23022785,17550647,35340680,31.9,3.295,1.845,49045.411,
SEN,Africa,Senegal,14.4974,-14.4524,2021-09-17,73588,26,1842,1,2564,787408,0.014,72,1768064,1203066,564998,17196308,18.7,3.008,1.796,2470.58,38
SRB,Europe,Serbia,44.0165,21.0059,2021-09-17,853686,7572,7698,34,26183,5342565,0.286,3.5,6238655,2990502,2854142,6804596,41.2,17.366,,14048.881,
SYC,Africa,Seychelles,-4.6796,55.492,2021-09-17,20593,0,106,0,,,,,,,,98910,36.2,8.606,5.586,26382.287,1.1
SLE,Africa,Sierra Leone,8.460555,-11.779889,2021-09-17,6391,3,121,0,,,,,221110,181065,40045,8141343,19.1,2.538,1.285,1390.3,52.2
SGP,Asia,Singapore,1.2833,103.8333,2021-09-17,75783,935,59,0,,18638817,0.008,130,9084721,4654992,4544159,5896684,42.4,12.922,7.049,85535.383,
SVK,Europe,Slovakia,48.669,19.699,2021-09-17,401250,902,12569,3,27933,41455749,0.023,43.5,4636179,2415058,2221121,5460726,41.2,15.07,9.167,30155.152,0.7
SVN,Europe,Slovenia,46.1512,14.9955,2021-09-17,281687,1143,4492,6,6528,1519459,0.201,5,2034157,1071680,962477,2078723,44.5,19.062,12.93,31400.84,
SOM,Africa,Somalia,5.152149,46.199616,2021-09-17,18820,0,1041,0,,,,,351305,231089,120216,16359500,16.8,2.731,1.496,,
ZAF,Africa,South Africa,-30.5595,22.9375,2021-09-17,2877063,3648,85952,173,45342,17236691,0.099,10.1,15683797,11367049,7734069,60041996,27.3,5.344,3.053,12294.876,18.9
KOR,Asia,South Korea,35.907757,127.766922,2021-09-17,284022,2084,2394,5,47324,13017726,0.042,23.8,55514851,35414516,21489009,51305184,43.4,13.914,8.622,35938.374,0.2
SSD,Africa,South Sudan,6.877,31.307,2021-09-17,11800,10,121,0,,,,,67109,55182,11927,11381377,19.2,3.441,2.032,1569.888,
ESP,Europe,Spain,40.463667,-3.74922,2021-09-17,4929546,3222,85783,44,,56889626,0.05,20.1,69094664,37385758,35784743,46745211,45.5,19.436,13.799,34272.36,1
LKA,Asia,Sri Lanka,7.873054,80.771797,2021-09-17,500772,2078,11938,121,9672,5163974,0.276,3.6,24558102,13690202,10867900,21497306,34.1,10.069,5.331,11669.077,0.7
SDN,Africa,Sudan,12.8628,30.2176,2021-09-17,37995,0,2875,0,,,,,1423327,648840,505413,44909351,19.7,3.548,2.034,4466.507,
SUR,South America,Suriname,3.9193,-56.0278,2021-09-17,36428,611,796,8,,,,,376042,216536,159506,591798,29.6,6.933,4.229,13767.119,
SWE,Europe,Sweden,60.1282,18.6435,2021-09-17,1144982,1009,14775,22,37493,,0.029,35,13403076,7070462,6332614,10160159,41,19.985,13.433,46949.283,0.5
